# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2
#
# total peaks = 32235
# peak size = 134
# peaks found using tags on both strands
# minimum distance between peaks = 268
# fragment length = 122
# genome size = 2000000000
# Total tags = 12320924.0
# Total tags in peaks = 1164991.0
# Approximate IP efficiency = 9.46%
# tags per bp = 0.005291
# expected tags per peak = 0.709
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.447811e-07
# FDR tag threshold = 8.0
# number of putative peaks = 59162
#
# input tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 23234
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3687
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2 -i /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr4-12	chr4	100954987	100955121	+	279.2	0.885	163.000000	290.6	4.0	72.66	0.00e+00	65.45	0.00e+00	0.74
chr11-10	chr11	28609635	28609769	+	279.2	0.943	170.000000	290.6	2.0	145.31	0.00e+00	177.12	0.00e+00	0.71
chr4-11	chr4	141383430	141383564	+	277.6	0.702	168.000000	288.9	9.0	32.10	1.17e-314	16.34	7.33e-278	0.72
chr6-4	chr6	31340417	31340551	+	276.8	0.859	177.000000	288.1	8.0	36.01	0.00e+00	84.82	0.00e+00	0.68
chr9-5	chr9	60830339	60830473	+	275.1	0.839	171.000000	286.4	4.0	71.60	0.00e+00	60.43	0.00e+00	0.70
chr19-4	chr19	58741561	58741695	+	275.1	0.847	171.000000	286.4	3.0	95.47	0.00e+00	35.91	0.00e+00	0.70
chr17-6	chr17	26362134	26362268	+	274.3	0.791	163.000000	285.6	4.0	71.39	0.00e+00	40.20	0.00e+00	0.74
chr10-5	chr10	97967270	97967404	+	273.5	0.878	172.000000	284.7	3.0	94.91	0.00e+00	153.16	0.00e+00	0.70
chr13-1	chr13	37916082	37916216	+	272.7	0.881	175.000000	283.9	3.0	94.62	0.00e+00	97.01	0.00e+00	0.68
chr5-4	chr5	115909109	115909243	+	271.9	0.900	169.000000	283.0	0.5	566.05	0.00e+00	134.05	0.00e+00	0.71
chr2-10	chr2	26412251	26412385	+	269.5	0.886	166.000000	280.5	5.0	56.10	0.00e+00	72.75	0.00e+00	0.72
chr6-7	chr6	31024520	31024654	+	269.5	0.883	164.000000	280.5	3.0	93.50	0.00e+00	43.65	0.00e+00	0.72
chr15-8	chr15	73561475	73561609	+	269.5	0.882	161.000000	280.5	7.0	40.07	0.00e+00	51.14	0.00e+00	0.75
chr4-9	chr4	141411100	141411234	+	268.6	0.858	172.000000	279.6	8.0	34.96	5.28e-315	110.27	0.00e+00	0.69
chr2-7	chr2	73749376	73749510	+	267.0	0.912	172.000000	278.0	8.0	34.74	6.40e-312	143.33	0.00e+00	0.70
chr8-5	chr8	59069975	59070109	+	266.2	0.925	170.000000	277.1	2.0	138.56	0.00e+00	170.07	0.00e+00	0.70
chr18-4	chr18	80719161	80719295	+	266.2	0.903	171.000000	277.1	4.0	69.28	0.00e+00	90.45	0.00e+00	0.69
chr5-7	chr5	145133247	145133381	+	265.4	0.786	159.000000	276.3	8.0	34.53	2.22e-310	75.47	0.00e+00	0.74
chr8-2	chr8	108457765	108457899	+	264.6	0.699	173.000000	275.4	3.0	91.81	0.00e+00	23.60	2.33e-314	0.69
chr18-5	chr18	42126244	42126378	+	264.6	0.910	169.000000	275.4	3.0	91.81	0.00e+00	237.65	0.00e+00	0.71
chr14-6	chr14	21925971	21926105	+	263.0	0.818	162.000000	273.7	8.0	34.22	9.01e-306	66.26	0.00e+00	0.72
chr18-3	chr18	74507940	74508074	+	263.0	0.841	173.000000	273.7	2.0	136.87	0.00e+00	83.41	0.00e+00	0.69
chr8-6	chr8	129425625	129425759	+	262.2	0.845	170.000000	272.9	4.0	68.22	0.00e+00	47.19	0.00e+00	0.70
chr8-12	chr8	109681778	109681912	+	261.3	0.903	160.000000	272.0	7.0	38.86	1.40e-319	121.58	0.00e+00	0.74
chr15-6	chr15	6989243	6989377	+	260.5	0.811	167.000000	271.2	5.0	54.24	0.00e+00	83.51	0.00e+00	0.72
chr2-18	chr2	109767259	109767393	+	259.7	0.813	150.000000	270.4	1.0	270.35	0.00e+00	62.83	0.00e+00	0.78
chr14-8	chr14	55346602	55346736	+	259.7	0.895	154.000000	270.4	4.0	67.59	0.00e+00	32.19	0.00e+00	0.78
chr12-4	chr12	16569109	16569243	+	258.9	0.905	174.000000	269.5	10.0	26.95	1.91e-274	132.69	0.00e+00	0.69
chr4-17	chr4	137489466	137489600	+	258.1	0.926	151.000000	268.7	5.0	53.73	0.00e+00	49.08	0.00e+00	0.78
chr8-7	chr8	32241551	32241685	+	256.5	0.824	169.000000	267.0	6.0	44.50	0.00e+00	64.99	0.00e+00	0.69
chr4-10	chr4	139523952	139524086	+	254.9	0.889	170.000000	265.3	6.0	44.21	0.00e+00	85.94	0.00e+00	0.69
chr7-8	chr7	39010156	39010290	+	254.9	0.883	160.000000	265.3	7.0	37.90	1.74e-308	66.62	0.00e+00	0.74
chr7-10	chr7	123429844	123429978	+	254.9	0.913	154.000000	265.3	11.0	24.12	3.37e-258	59.13	0.00e+00	0.76
chr10-4	chr10	79236117	79236251	+	254.9	0.778	176.000000	265.3	4.0	66.32	0.00e+00	61.65	0.00e+00	0.66
chr11-13	chr11	50010746	50010880	+	254.9	0.903	161.000000	265.3	3.0	88.43	0.00e+00	102.75	0.00e+00	0.73
chr8-14	chr8	42211504	42211638	+	254.0	0.898	158.000000	264.4	6.0	44.07	4.94e-324	53.84	0.00e+00	0.74
chr6-6	chr6	117458985	117459119	+	253.2	0.867	167.000000	263.6	7.0	37.66	2.48e-305	32.08	0.00e+00	0.70
chr10-7	chr10	90699734	90699868	+	252.4	0.857	167.000000	262.7	5.0	52.55	0.00e+00	93.84	0.00e+00	0.71
chr15-7	chr15	44521743	44521877	+	252.4	0.831	163.000000	262.7	3.0	87.58	0.00e+00	89.10	0.00e+00	0.72
chr15-10	chr15	62544191	62544325	+	252.4	0.746	158.000000	262.7	2.0	131.37	0.00e+00	34.96	0.00e+00	0.73
chr18-6	chr18	24352182	24352316	+	252.4	0.766	167.000000	262.7	6.0	43.79	7.27e-321	64.14	0.00e+00	0.70
chr13-2	chr13	102602312	102602446	+	251.6	0.784	170.000000	261.9	1.0	261.90	0.00e+00	70.88	0.00e+00	0.68
chr1-7	chr1	157690784	157690918	+	250.0	0.942	157.000000	260.2	2.0	130.11	0.00e+00	174.44	0.00e+00	0.74
chr2-9	chr2	5993162	5993296	+	250.0	0.814	168.000000	260.2	2.0	130.11	0.00e+00	71.99	0.00e+00	0.70
chr7-6	chr7	134205496	134205630	+	250.0	0.822	173.000000	260.2	7.0	37.17	1.30e-300	85.90	0.00e+00	0.67
chr11-12	chr11	120092901	120093035	+	250.0	0.817	165.000000	260.2	7.0	37.17	1.30e-300	59.21	0.00e+00	0.70
chr7-12	chr7	135052194	135052328	+	249.2	0.829	151.000000	259.4	3.0	86.46	0.00e+00	71.53	0.00e+00	0.77
chr10-6	chr10	67590426	67590560	+	248.4	0.909	168.000000	258.5	1.0	258.53	0.00e+00	105.28	0.00e+00	0.69
chr12-3	chr12	12817119	12817253	+	248.4	0.759	176.000000	258.5	9.0	28.73	3.52e-270	52.03	0.00e+00	0.66
chr13-3	chr13	94418722	94418856	+	248.4	0.807	165.000000	258.5	4.0	64.63	0.00e+00	93.48	0.00e+00	0.71
chr9-6	chr9	108177125	108177259	+	247.5	0.747	171.000000	257.7	5.0	51.54	0.00e+00	52.71	0.00e+00	0.67
chr17-8	chr17	5712505	5712639	+	247.5	0.962	162.000000	257.7	7.0	36.81	6.59e-296	145.82	0.00e+00	0.71
chr2-11	chr2	152189359	152189493	+	246.7	0.875	163.000000	256.8	1.0	256.84	0.00e+00	99.48	0.00e+00	0.71
chr5-9	chr5	65197476	65197610	+	246.7	0.923	154.000000	256.8	4.0	64.21	0.00e+00	79.09	0.00e+00	0.75
chr9-7	chr9	59119796	59119930	+	246.7	0.823	169.000000	256.8	7.0	36.69	2.42e-294	65.64	0.00e+00	0.68
chr11-11	chr11	100652880	100653014	+	245.1	0.890	165.000000	255.1	3.0	85.05	0.00e+00	60.10	0.00e+00	0.70
chrX-1	chrX	139267902	139268036	+	245.1	0.856	145.000000	255.1	1.0	255.15	0.00e+00	74.12	0.00e+00	0.80
chr4-13	chr4	104851973	104852107	+	243.5	0.822	163.000000	253.5	8.0	31.68	2.03e-275	53.22	0.00e+00	0.71
chr13-4	chr13	28516644	28516778	+	243.5	0.861	155.000000	253.5	2.0	126.73	0.00e+00	124.09	0.00e+00	0.75
chr17-9	chr17	64967270	64967404	+	243.5	0.884	157.000000	253.5	4.0	63.36	0.00e+00	56.78	0.00e+00	0.73
chr4-16	chr4	59675163	59675297	+	242.7	0.920	151.000000	252.6	0.5	505.22	0.00e+00	147.75	0.00e+00	0.77
chr5-20	chr5	125889403	125889537	+	241.9	0.916	136.000000	251.8	5.0	50.35	2.32e-322	64.53	0.00e+00	0.85
chr5-5	chr5	64736573	64736707	+	241.1	0.842	164.000000	250.9	5.0	50.18	1.18e-320	45.65	0.00e+00	0.70
chr19-3	chr19	54168209	54168343	+	241.1	0.884	174.000000	250.9	5.0	50.18	1.18e-320	132.53	0.00e+00	0.66
chr11-14	chr11	101223688	101223822	+	240.2	0.860	156.000000	250.1	5.0	50.02	1.18e-320	53.16	0.00e+00	0.74
chr17-10	chr17	65898067	65898201	+	240.2	0.700	156.000000	250.1	3.0	83.36	0.00e+00	52.39	0.00e+00	0.73
chr10-8	chr10	118480285	118480419	+	239.4	0.894	161.000000	249.2	7.0	35.60	1.95e-283	155.14	0.00e+00	0.72
chr1-5	chr1	182140381	182140515	+	238.6	0.789	159.000000	248.4	5.0	49.68	2.93e-317	59.63	0.00e+00	0.72
chr3-4	chr3	100222400	100222534	+	238.6	0.884	162.000000	248.4	2.0	124.19	0.00e+00	67.64	0.00e+00	0.70
chr2-17	chr2	28418886	28419020	+	237.8	0.788	151.000000	247.5	8.0	30.94	1.91e-266	40.63	0.00e+00	0.77
chr3-6	chr3	10297932	10298066	+	237.8	0.879	156.000000	247.5	4.0	61.89	0.00e+00	75.43	0.00e+00	0.73
chr11-16	chr11	68191752	68191886	+	237.0	0.839	151.000000	246.7	6.0	41.12	7.98e-295	55.55	0.00e+00	0.76
chr2-12	chr2	157703223	157703357	+	236.2	0.876	160.000000	245.9	4.0	61.46	0.00e+00	30.92	1.07e-313	0.71
chr10-14	chr10	88967762	88967896	+	236.2	0.907	152.000000	245.9	3.0	81.95	0.00e+00	107.67	0.00e+00	0.77
chr10-12	chr10	120995422	120995556	+	236.2	0.885	154.000000	245.9	9.0	27.32	2.29e-251	161.09	0.00e+00	0.74
chr17-12	chr17	57136469	57136603	+	236.2	0.829	146.000000	245.9	8.0	30.73	1.82e-263	89.65	0.00e+00	0.79
chr1-3	chr1	52053635	52053769	+	235.4	0.747	160.000000	245.0	5.0	49.00	3.53e-312	61.53	0.00e+00	0.72
chr1-8	chr1	155965012	155965146	+	235.4	0.865	155.000000	245.0	8.0	30.63	1.82e-263	40.44	0.00e+00	0.74
chr3-10	chr3	142388645	142388779	+	235.4	0.922	148.000000	245.0	2.0	122.50	0.00e+00	182.49	0.00e+00	0.78
chr4-14	chr4	5514713	5514847	+	234.6	0.934	160.000000	244.2	4.0	61.04	0.00e+00	189.98	0.00e+00	0.73
chr8-10	chr8	129191744	129191878	+	234.6	0.800	161.000000	244.2	2.0	122.08	0.00e+00	25.89	4.73e-290	0.72
chr14-9	chr14	14842327	14842461	+	233.7	0.939	152.000000	243.3	3.0	81.11	0.00e+00	64.06	0.00e+00	0.75
chr19-6	chr19	58301226	58301360	+	232.9	0.929	155.000000	242.5	10.0	24.25	2.00e-236	188.67	0.00e+00	0.74
chr8-15	chr8	114214984	114215118	+	232.1	0.837	153.000000	241.6	5.0	48.33	1.99e-305	34.41	3.17e-321	0.74
chr19-5	chr19	27310443	27310577	+	232.1	0.832	157.000000	241.6	5.0	48.33	1.99e-305	70.66	0.00e+00	0.72
chr6-8	chr6	99037536	99037670	+	231.3	0.683	156.000000	240.8	2.0	120.39	0.00e+00	35.69	0.00e+00	0.73
chr8-8	chr8	118427936	118428070	+	231.3	0.824	162.000000	240.8	2.0	120.39	0.00e+00	79.79	0.00e+00	0.69
chr14-5	chr14	70736298	70736432	+	231.3	0.709	167.000000	240.8	10.0	24.08	1.16e-233	34.68	4.53e-321	0.68
chr10-11	chr10	51952110	51952244	+	230.5	0.845	154.000000	239.9	4.0	59.98	0.00e+00	71.12	0.00e+00	0.73
chr13-5	chr13	49575565	49575699	+	230.5	0.916	152.000000	239.9	8.0	29.99	1.41e-254	99.10	0.00e+00	0.74
chr17-11	chr17	28827882	28828016	+	230.5	0.873	151.000000	239.9	6.0	39.99	1.43e-283	103.51	0.00e+00	0.74
chr2-19	chr2	119208519	119208653	+	229.7	0.826	147.000000	239.1	5.0	47.82	4.60e-302	120.44	0.00e+00	0.79
chr5-8	chr5	144920604	144920738	+	229.7	0.844	157.000000	239.1	7.0	34.16	5.27e-268	30.60	6.78e-304	0.72
chr10-9	chr10	126584309	126584443	+	229.7	0.832	159.000000	239.1	2.0	119.55	0.00e+00	62.76	0.00e+00	0.71
chr19-7	chr19	58770776	58770910	+	228.9	0.767	154.000000	238.2	3.0	79.42	0.00e+00	33.65	4.04e-314	0.75
chr10-10	chr10	41329364	41329498	+	228.1	0.789	156.000000	237.4	4.0	59.35	3.05e-321	67.83	0.00e+00	0.72
chr3-11	chr3	96361720	96361854	+	227.3	0.865	146.000000	236.6	15.0	15.77	9.38e-189	26.16	2.52e-282	0.78
chr5-6	chr5	120611414	120611548	+	227.3	0.838	163.000000	236.6	4.0	59.14	1.81e-319	77.21	0.00e+00	0.69
chr7-16	chr7	108213308	108213442	+	226.4	0.815	147.000000	235.7	6.0	39.29	3.50e-277	47.66	0.00e+00	0.76
chr7-7	chr7	116746220	116746354	+	226.4	0.782	162.000000	235.7	3.0	78.57	0.00e+00	47.66	0.00e+00	0.69
chr14-7	chr14	26625376	26625510	+	226.4	0.878	162.000000	235.7	4.0	58.93	1.07e-317	123.01	0.00e+00	0.70
chr4-21	chr4	122939084	122939218	+	225.6	0.835	144.000000	234.9	5.0	46.97	1.10e-293	38.99	0.00e+00	0.78
chr7-17	chr7	26215530	26215664	+	225.6	0.843	146.000000	234.9	5.0	46.97	1.10e-293	91.38	0.00e+00	0.77
chr2-21	chr2	157699023	157699157	+	224.8	0.860	145.000000	234.0	5.0	46.80	1.10e-293	28.44	5.11e-289	0.78
chr3-9	chr3	38524562	38524696	+	224.8	0.772	152.000000	234.0	4.0	58.51	6.26e-316	80.61	0.00e+00	0.73
chr6-9	chr6	91107099	91107233	+	224.8	0.841	154.000000	234.0	6.0	39.00	1.37e-275	43.95	0.00e+00	0.73
chr12-6	chr12	78140552	78140686	+	224.8	0.823	157.000000	234.0	4.0	58.51	6.26e-316	85.69	0.00e+00	0.71
chr16-4	chr16	10972398	10972532	+	224.8	0.801	160.000000	234.0	7.0	33.43	2.35e-260	35.59	3.84e-315	0.70
chr16-5	chr16	96583048	96583182	+	224.8	0.784	149.000000	234.0	5.0	46.80	1.10e-293	66.22	0.00e+00	0.77
